"name","source_table_name","time","encoding","start_line","ref","state"
"crime2007a","crimea",2007,"latin1",1,"http://ds.civicknowledge.org/sandag.org/SANDAG%20Crime%20Incidents%202007.zip","new"
"crime2008a","crimea",2008,"latin1",1,"http://ds.civicknowledge.org/sandag.org/SANDAG%20Crime%20Incidents%202008.zip","synced"
"crime2009a","crimea",2009,"latin1",1,"http://ds.civicknowledge.org/sandag.org/SANDAG%20Crime%20Incidents%202009.zip","synced"
"crime2010a","crimea",2010,"latin1",1,"http://ds.civicknowledge.org/sandag.org/SANDAG%20Crime%20Incidents%202010.zip","synced"
"crime2011a","crimea",2011,"latin1",1,"http://ds.civicknowledge.org/sandag.org/SANDAG%20Crime%20Incidents%202011.zip","synced"
"crime2012a","crimea",2012,"latin1",1,"http://ds.civicknowledge.org/sandag.org/SANDAG%20Crime%20Incidents%202012.zip","synced"
"crime2012b","crimeb",2012,"latin1",1,"http://ds.civicknowledge.org/sandag.org/2012.xlsx","ingest_done"
"crime2013a","crimea",2013,"latin1",1,"http://ds.civicknowledge.org/sandag.org/SANDAG%20Crime%20Incidents%202013.zip","synced"
"crime2013b","crimeb",2013,"latin1",1,"http://ds.civicknowledge.org/sandag.org/2013.xlsx","synced"
"crime2014b","crimeb",2014,"latin1",1,"http://ds.civicknowledge.org/sandag.org/2014.xlsx","synced"
"crime2015b","crimeb",2015,"latin1",1,"http://ds.civicknowledge.org/sandag.org/2015.xlsx","synced"
