"name","title","stage","dest_table_name","start_line","end_line","header_lines","reftype","ref","state"
"api","Api Root",,,,,,"ref","http://askchisne.azure-api.net/api","synced"
"asiana",,2,"asiana",,,0,"generator","GenerateDataRows",
"asiantc",,2,"asiantc",,,0,"generator","GenerateDataRows",
"asthmaa",,2,"asthmaa",,,0,"generator","GenerateDataRows",
"asthmatc",,2,"asthmatc",,,0,"generator","GenerateDataRows",
"blacka",,2,"blacka",,,0,"generator","GenerateDataRows",
"blacktc",,2,"blacktc",,,0,"generator","GenerateDataRows",
"borncitza",,2,"borncitza",,,0,"generator","GenerateDataRows",
"borncitztc",,2,"borncitztc",,,0,"generator","GenerateDataRows",
"dentc",,2,"dentc",,,0,"generator","GenerateDataRows",
"diaba",,2,"diaba",,,0,"generator","GenerateDataRows",
"dlycarea",,2,"dlycarea",,,0,"generator","GenerateDataRows",
"dlycaretc",,2,"dlycaretc",,,0,"generator","GenerateDataRows",
"dstrsa",,2,"dstrsa",,,0,"generator","GenerateDataRows",
"engonlya",,2,"engonlya",,,0,"generator","GenerateDataRows",
"femalea",,2,"femalea",,,0,"generator","GenerateDataRows",
"femaletc",,2,"femaletc",,,0,"generator","GenerateDataRows",
"flushotc",,2,"flushotc",,,0,"generator","GenerateDataRows",
"flushote",,2,"flushote",,,0,"generator","GenerateDataRows",
"fphealtha",,2,"fphealtha",,,0,"generator","GenerateDataRows",
"fphealthe",,2,"fphealthe",,,0,"generator","GenerateDataRows",
"fphealthtc",,2,"fphealthtc",,,0,"generator","GenerateDataRows",
"fslevalla",,2,"fslevalla",,,0,"generator","GenerateDataRows",
"heartda",,2,"heartda",,,0,"generator","GenerateDataRows",
"latinoa",,2,"latinoa",,,0,"generator","GenerateDataRows",
"latinotc",,2,"latinotc",,,0,"generator","GenerateDataRows",
"lthighscha",,2,"lthighscha",,,0,"generator","GenerateDataRows",
"movefrabra",,2,"movefrabra",,,0,"generator","GenerateDataRows",
"movewusa",,2,"movewusa",,,0,"generator","GenerateDataRows",
"natrlcitza",,2,"natrlcitza",,,0,"generator","GenerateDataRows",
"natrlcitztc",,2,"natrlcitztc",,,0,"generator","GenerateDataRows",
"nhwhitea",,2,"nhwhitea",,,0,"generator","GenerateDataRows",
"nhwhitetc",,2,"nhwhitetc",,,0,"generator","GenerateDataRows",
"noncitza",,2,"noncitza",,,0,"generator","GenerateDataRows",
"noncitztc",,2,"noncitztc",,,0,"generator","GenerateDataRows",
"notworka",,2,"notworka",,,0,"generator","GenerateDataRows",
"obesea",,2,"obesea",,,0,"generator","GenerateDataRows",
"othermixa",,2,"othermixa",,,0,"generator","GenerateDataRows",
"othermixtc",,2,"othermixtc",,,0,"generator","GenerateDataRows",
"ovrwtagec",,2,"ovrwtagec",,,0,"generator","GenerateDataRows",
"ovrwtobeset",,2,"ovrwtobeset",,,0,"generator","GenerateDataRows",
"pakidstc",,2,"pakidstc",,,0,"generator","GenerateDataRows",
"povertya",,2,"povertya",,,0,"generator","GenerateDataRows",
"povertytc",,2,"povertytc",,,0,"generator","GenerateDataRows",
"regwlka",,2,"regwlka",,,0,"generator","GenerateDataRows",
"samehousea",,2,"samehousea",,,0,"generator","GenerateDataRows",
"smkcura",,2,"smkcura",,,0,"generator","GenerateDataRows",
"uninsa",,2,"uninsa",,,0,"generator","GenerateDataRows",
"uninstc",,2,"uninstc",,,0,"generator","GenerateDataRows",
"variables",,1,"variables",1,52,0,"generator","GenerateVars","built"
"whitea",,2,"whitea",,,0,"generator","GenerateDataRows",
"whitetc",,2,"whitetc",,,0,"generator","GenerateDataRows",
"workinga",,2,"workinga",,,0,"generator","GenerateDataRows",
